0.21346,35.31,143.66,Happy
1.3573,3.5521,144.59,Happy
3.4392,2.4867,142.4,Happy
0.62117,9.1824,143.89,Happy
0.088244,5.3051,145.35,Happy
0.18639,3.8263,142.35,Happy
0.38984,9.2023,145.56,Happy
0.51812,5.207,140.59,Happy
0.39109,1.6434,141.75,Happy
0.11778,2.3359,139.98,Happy
0.15402,8.3897,149.49,Happy
0.43392,17.293,126.46,Happy
0.40862,23.073,73.835,Happy
0.28001,5.7746,62.345,Happy
0.16024,11.764,61.225,Happy
0.078982,14.324,40.601,Happy
0.76812,13.85,45.77,Happy
2.0522,3.4703,35.59,Happy
0.48417,15.083,48.497,Happy
0.78869,2.2858,59.936,Happy
1.3517,2.1025,69.987,Happy
0.66809,2.8586,65.475,Happy
3.638,3.1241,78.797,Happy
0.073271,3.6401,77.402,Happy
0.055043,14.663,81.144,Happy
0.023094,9.038,83.367,Happy
0.19704,3.0295,83.284,Happy
0.18962,2.5225,91.703,Happy
0.13846,4.4819,92.222,Happy
0.28678,1.411,92.596,Happy
0.015037,3.7049,91.423,Happy
0.060585,2.4558,95.638,Happy
0.13817,1.7877,99.165,Happy
0.09968,1.7251,100.16,Happy
0.29128,1.7608,100.85,Happy
0.19159,4.5593,80.104,Happy
0.33888,3.6195,38.331,Happy
0.032038,12.57,61.73,Happy
0.017976,1.445,36.728,Happy
0.052128,21.292,56.779,Happy
0.063462,8.9764,58.887,Happy
